fish#,group,acclimation_temperature,acclimation_salinity,assay_temperature,rmr_time,rmr_endtime,rmr_rate_abs,end_time,mmr_time,mmr_endtime,mmr_rate_abs,background_time,background_endtime,total_time,background_rate_abs,blank_time,blank_endtime,blank_rate_abs,b,rmr_background_rate_abs,mmr_background_rate_abs,mass_g
25,4,10,11,10,26174.092,26489.1,0.113532179,59874.99,2398.827,2688.831,0.790415807,NA,NA,NA,0,0,0,0,NA,NA,NA,7.287
25,4,10,11,24,20129.39,20229.393,0.714727605,64875.22,3784.097,3934.103,2.086262553,1090.21,1375.217,65965.43,0.07880974,3954.47,4419.523,0.015023836,1.44E-06,0.031283409,0.014853963,7.287
26,4,24,28,24,23694.052,23839.052,1.052346541,59874.99,3603.86,3648.857,2.031698101,350.026,550.034,60225.016,0.763918347,5560.058,5690.065,0.064933237,1.40E-05,0.257165127,0.046144701,6.203
26,4,24,28,10,20464.396,20714.4,0.10840862,64875.22,1084.058,1288.984,0.667967733,1035.209,1460.222,65910.429,0.037098073,2604.818,2874.821,0.050558517,-3.09E-07,0.046742609,0.05088412,6.203
27,4,24,28,24,23584.047,23699.052,1.154486938,59874.99,4518.88,4728.879,1.79422986,385.027,565.03,60260.017,0.72025119,5560.058,5690.065,0.064933237,1.33E-05,0.245587774,0.055385925,7.224
27,4,24,28,10,20269.394,20684.401,0.147452837,64875.22,1733.898,2238.907,0.390936635,1000.207,1415.22,65875.427,0.038548939,2604.818,2874.821,0.050558517,-2.75E-07,0.047190939,0.050724843,7.224
28,4,24,11,24,20174.07,20289.069,0.673531819,59874.99,5223.9,5463.902,1.506236425,375.028,555.031,60250.018,0.210991175,0,0,0,4.58E-06,0.06620045,0.016737007,6.314
28,4,24,11,10,21914.424,22314.428,0.125959997,64875.22,2534.017,2704.085,0.522300108,NA,NA,NA,0,0,0,0,NA,NA,NA,6.314
29,4,24,11,24,23599.048,23699.052,0.733987433,59874.99,5618.902,5728.9,1.671433874,350.026,580.031,60225.016,0.217886409,0,0,0,4.72E-06,0.080301157,0.018560857,6.89
29,4,24,11,10,29619.548,29984.554,0.1037398,64875.22,4174.109,4279.109,1.001895449,NA,NA,NA,0,0,0,0,NA,NA,NA,6.89
30,5,10,28,10,25446.561,25691.561,0.216757718,64946.9,1561.137,1776.148,0.813851995,777.202,997.308,65724.102,0.136285488,0,0,0,2.80E-06,0.050710846,0.003039387,6.084
30,5,10,28,24,29008.263,29108.266,0.672366366,66784.23,6657.931,6857.94,1.188682436,1203.121,1708.117,67987.351,0.108444487,1413.991,2113.904,0.063857227,9.45E-07,0.082102678,0.067299201,6.084
31,5,10,11,10,25426.557,25701.561,0.105301255,64946.9,3131.095,3286.089,0.638564294,727.204,962.307,65674.104,0.007675842,0,0,0,1.68E-07,0.002964838,3.65E-04,5.762
31,5,10,11,24,21017.995,21112.999,0.54451762,66784.23,7712.952,7817.952,1.258268471,1148.122,1578.128,67932.352,0.108788702,3954.47,4419.523,0.015023836,2.02E-06,0.03921589,0.020302928,5.762
32,5,10,11,10,28601.516,29011.522,0.167296173,64946.9,4081.097,4286.097,0.755162887,NA,NA,NA,0,0,0,0,NA,NA,NA,7.631
32,5,10,11,24,29018.263,29118.266,0.54017303,66784.23,8412.965,8502.97,1.680244224,1358.125,1703.116,68142.355,0.098624088,3954.47,4419.523,0.015023836,1.80E-06,0.04687136,0.0206163,7.631
33,5,24,28,24,29466.529,29611.531,0.581361932,64946.9,1551.136,1736.145,1.026773002,602.202,1042.307,65549.102,0.235901664,5560.058,5690.065,0.064933237,3.80E-06,0.129851347,0.054441196,4.701
33,5,24,28,10,22863.216,23248.299,0.138756825,66784.23,2602.67,2847.673,0.539136688,NA,NA,NA,0,2604.818,2874.821,0.050558517,NA,NA,NA,4.701
34,5,24,28,24,29451.529,29591.531,0.646389953,64946.9,5126.102,5261.119,1.390307178,607.202,837.299,65554.102,0.23289059,5560.058,5690.065,0.064933237,3.73E-06,0.128712442,0.063810849,5.66
34,5,24,28,10,21152.999,21528.261,0.102710186,66784.23,4712.804,4912.89,0.585996177,748.112,1163.12,67532.342,0.051932574,2604.818,2874.821,0.050558517,3.05E-08,0.050950858,0.050603099,5.66
35,5,24,11,24,29486.528,29616.529,0.490310144,64946.9,6286.117,6386.121,1.166608987,562.202,977.321,65509.102,0.128831401,0,0,0,2.67E-06,0.056061129,0.011696336,5.441
35,5,24,11,10,24533.243,24913.329,0.101725839,66784.23,3382.596,3757.857,0.295623208,748.112,1133.121,67532.342,0.070733191,0,0,0,1.46E-06,0.025138753,0.003429099,5.441
36,5,24,11,24,29456.529,29596.53,0.53570108,64946.9,7501.134,7641.14,1.438057043,752.204,1022.309,65699.104,0.132118439,0,0,0,2.72E-06,0.057213481,0.01426877,7.191
36,5,24,11,10,26163.293,26548.296,0.118823674,66784.23,4282.889,4407.8,0.610578151,758.113,1143.121,67542.343,0.055091607,0,0,0,1.15E-06,0.020990523,0.003406337,7.191
37,6,10,28,10,35247.114,35567.296,0.234532008,57931.089,4162.725,4284.748,0.682681422,401.63,620.687,58332.719,0.094661483,0,0,0,2.24E-06,0.05617176,0.0064752,8.592
37,6,10,28,24,35085.003,35177.041,0.899786488,84493.152,4024.537,4095.55,2.071220401,51201.064,51234.074,51201.064,0.311109204,1413.991,2113.904,0.063857227,6.40E-06,0.225022006,0.07550955,8.592
38,6,24,28,24,27477.553,27577.672,1.151757152,57931.089,2332.394,2407.479,2.041525919,588.678,696.704,58519.767,0.334740024,5560.058,5690.065,0.064933237,6.51E-06,0.168839146,0.050480921,8.65
39,6,24,28,24,27472.553,27577.672,1.020102783,57931.089,1326.988,1466.173,1.732268504,541.667,688.701,58472.756,0.343428732,5560.058,5690.065,0.064933237,6.70E-06,0.172033249,0.045470166,9.664
40,6,24,11,24,27432.536,27565.58,0.707303639,57931.089,199.856,282.874,1.83190238,623.689,782.728,58554.778,0.102613495,0,0,0,2.41E-06,0.04682731,3.33E-04,8.942
41,6,24,28,10,0,0,0,0,1175.03,1434.083,0.586033458,0,0,0,0,0,0,0,NA,NA,NA,5.648
42,6,24,28,10,0,0,0,0,1680.133,1811.166,0.534051062,0,0,0,0,0,0,0,NA,NA,NA,6.346
43,6,24,11,10,0,0,0,0,10.76,120.778,1.035862048,0,0,0,0,0,0,0,NA,NA,NA,8.065
